year,damage,values
1984,Low,498604.5655
1985,Low,1447511.761
1986,Low,922816.7219
1987,Low,1043564.222
1988,Low,1217677.366
1989,Low,770343.4854
1990,Low,844067.8203
1991,Low,773120.9746
1992,Low,620935.7394
1993,Low,580867.7503
1994,Low,1213489.227
1995,Low,598726.7233
1996,Low,2266050.21
1997,Low,206696.8797
1998,Low,804791.7793
1999,Low,2377196.48
2000,Low,2354066.082
2001,Low,1141255.382
2002,Low,1868407.565
2003,Low,1076549.603
2004,Low,2006481.181
2005,Low,2680915.334
2006,Low,3377549.829
2007,Low,2593915.806
2008,Low,1689647.481
2009,Low,1379285.249
2010,Low,1123705.316
2011,Low,4613185.357
2012,Low,3809820.241
2013,Low,1362322.527
2014,Low,1467694.093
2015,Low,2988125.786
2016,Low,2325824.384
2017,Low,5138457.733
2018,Low,3236351.789
1984,Moderate,152265.9645
1985,Moderate,741939.661
1986,Moderate,418341.155
1987,Moderate,425008.33
1988,Moderate,657055.9977
1989,Moderate,229682.0538
1990,Moderate,564992.5393
1991,Moderate,400900.2843
1992,Moderate,205374.9647
1993,Moderate,329812.2179
1994,Moderate,724373.3596
1995,Moderate,318744.961
1996,Moderate,1054979.972
1997,Moderate,90689.28064
1998,Moderate,239031.7553
1999,Moderate,1082238.908
2000,Moderate,1248010.021
2001,Moderate,533368.66
2002,Moderate,1584564.584
2003,Moderate,785259.5075
2004,Moderate,2129916.545
2005,Moderate,2074149.481
2006,Moderate,1795275.913
2007,Moderate,1714610.857
2008,Moderate,796743.0876
2009,Moderate,918432.43
2010,Moderate,406754.3838
2011,Moderate,1480473.123
2012,Moderate,1529724.017
2013,Moderate,948626.0881
2014,Moderate,576737.6557
2015,Moderate,2288367.977
2016,Moderate,774757.5783
2017,Moderate,1548923.586
2018,Moderate,1645890.628
1984,High,63007.79466
1985,High,251903.7464
1986,High,107874.8421
1987,High,204284.7852
1988,High,724360.4607
1989,High,149734.444
1990,High,456152.5037
1991,High,152077.1513
1992,High,111001.0464
1993,High,108590.2863
1994,High,384191.5375
1995,High,70796.50682
1996,High,322796.995
1997,High,28992.05879
1998,High,126493.5158
1999,High,456489.6542
2000,High,843858.5468
2001,High,229812.5996
2002,High,1124244.178
2003,High,640833.8508
2004,High,763638.2809
2005,High,1559576.966
2006,High,665440.0609
2007,High,1194273.868
2008,High,296475.0087
2009,High,579896.9969
2010,High,206951.9666
2011,High,411574.3472
2012,High,680172.8296
2013,High,669749.8505
2014,High,367453.6569
2015,High,1964494.591
2016,High,376639.0086
2017,High,817889.2787
2018,High,681398.4475
1984,Unburned,261632.6312
1985,Unburned,547785.4056
1986,Unburned,281117.3105
1987,Unburned,536508.6528
1988,Unburned,852122.0719
1989,Unburned,225825.7272
1990,Unburned,348119.0941
1991,Unburned,320922.6512
1992,Unburned,321817.3457
1993,Unburned,219147.6549
1994,Unburned,711077.0392
1995,Unburned,202500.5114
1996,Unburned,839344.5987
1997,Unburned,96566.06434
1998,Unburned,278610.9206
1999,Unburned,908943.7317
2000,Unburned,1474779.592
2001,Unburned,540096.5487
2002,Unburned,1014781.437
2003,Unburned,744997.1453
2004,Unburned,1396883.353
2005,Unburned,1495402.711
2006,Unburned,1442262.13
2007,Unburned,1674862.227
2008,Unburned,738589.0603
2009,Unburned,511771.8969
2010,Unburned,295492.2459
2011,Unburned,1082608.75
2012,Unburned,1250712.119
2013,Unburned,472828.3361
2014,Unburned,379279.0578
2015,Unburned,1154913.539
2016,Unburned,581833.6111
2017,Unburned,1213866.853
2018,Unburned,756357.9634
1984,Increased Greenness,11684.625
1985,Increased Greenness,24471.66123
1986,Increased Greenness,6188.803663
1987,Increased Greenness,19954.82199
1988,Increased Greenness,36549.7027
1989,Increased Greenness,7536.738801
1990,Increased Greenness,10833.07515
1991,Increased Greenness,6457.679027
1992,Increased Greenness,13315.00159
1993,Increased Greenness,14269.07546
1994,Increased Greenness,27862.96017
1995,Increased Greenness,3963.298479
1996,Increased Greenness,17328.78369
1997,Increased Greenness,21500.46614
1998,Increased Greenness,4971.859088
1999,Increased Greenness,31116.15192
2000,Increased Greenness,29187.09906
2001,Increased Greenness,6108.74152
2002,Increased Greenness,23361.68857
2003,Increased Greenness,25849.61967
2004,Increased Greenness,91269.73118
2005,Increased Greenness,64268.32863
2006,Increased Greenness,37729.06255
2007,Increased Greenness,63829.98839
2008,Increased Greenness,14538.61801
2009,Increased Greenness,14671.16533
2010,Increased Greenness,5779.819549
2011,Increased Greenness,28794.57217
2012,Increased Greenness,25285.18156
2013,Increased Greenness,12185.23579
2014,Increased Greenness,5071.047187
2015,Increased Greenness,44327.29512
2016,Increased Greenness,35420.60409
2017,Increased Greenness,28826.37463
2018,Increased Greenness,14532.61335
