Language,Start,End,Color
HTML,1,7,#DD4A25
HTML,8,9,#DD4A25
HTML,10,14,#DD4A25
HTML,15,20,#DD4A25
HTML,24,28,#DD4A25
HTML,44,46,#DD4A25
HTML,46,49,#DD4A25
HTML,51,58,#DD4A25
HTML,77,78,#DD4A25
HTML,82,83,#DD4A25
CSS,5,6,#0C6DB2
CSS,7,12,#0C6DB2
CSS,13,28,#0C6DB2
CSS,48,49,#0C6DB2
CSS,51,58,#0C6DB2
CSS,77,78,#0C6DB2
CSS,82,83,#0C6DB2
Bootstrap,26,29,#7510F1
Bootstrap,44,46,#7510F1
JavaScript,29,43,#EFD827
JavaScript,46,58,#EFD827
JavaScript,77,78,#EFD827
SQL,58,72,#00618B
Python,72,91,#FAD76C
Django,91,100,#003A2B
