anio,superficie_sembrada_soja1ra_ha,superficie_cosechada_soja1ra_ha,produccion_soja1ra_t,rendimiento_soja1ra_kgxha
2000,7847100,7625410,20432712,2680
2001,8340713,8155418,22788747,2794
2002,9735119,9582917,27568822,2877
2003,11434085,11330939,26655728,2352
2004,11098598,10854198,31163756,2871
2005,12292497,12107278,33776020,2790
2006,12662397,12554627,38699118,3082
2007,12788351,12650487,38386540,3034
2008,15069766,14015546,27467560,1960
2009,16245988,16087769,48430294,3010
2010,15953404,15839659,43313020,2734
2011,15347132,14559116,35266380,2422
2012,16456165,15964173,43084734,2699
2013,16564390,16218538,46310717,2855
2014,15719645,15368416,51071657,3323
2015,16782993,15939038,50321897,3157
2016,13687752,13187419,44159121,3349
2017,12748937,12301355,31198565,2536
2018,12254127,11950589,42525661,3558
2019,11484887,11352638,35950200,3167
