anio,superficie_sembrada_soja2da_ha,superficie_cosechada_soja2da_ha,produccion_soja2da_t,rendimiento_soja2da_kgxha
2000,3080230,2987483,6833540,2287
2001,3287248,3238985,7173447,2215
2002,2855125,2820477,7216299,2559
2003,3079021,2960775,4904420,1656
2004,3292032,3173677,7123347,2245
2005,3075586,3000618,6713246,2237
2006,3447641,3397413,8731964,2570
2007,3783534,3701972,7764111,2097
2008,2912487,2697322,4248501,1575
2009,2146764,2130158,4817067,2261
2010,2924476,2901201,5556289,1915
2011,3318016,3015142,4831264,1602
2012,3346607,3225152,5980455,1854
2013,3140952,3034414,7088003,2336
2014,4072455,3966499,10326620,2603
2015,3779240,3651833,8773350,2402
2016,4369410,4148247,10813426,2607
2017,4510323,4016705,6587363,1640
2018,4756150,4625298,12738238,2754
2019,5423351,5368786,12846467,2393
